TimeStamp [Seconds];m;n;ingain;rsense;contacts;harmonic;modevi;frequency [Hertz];dcbiasP;dcbiasN;outgain;inport;outport;filter;phaseShift;VadcI [Integer];VadcQ [Integer];Re [Ohm];Im [Ohm];Conductance [Siemens];Susceptance [Siemens];Zmod [Ohm];ZPha [Radians];Rp [Ohm];Cp [Farad];Lp [Henry];Current [Ampere];Voltage [Volt];Unnamed: 29
0.655;1.0;0.0;50;500;TWO;FIRST_HARMONIC;VOUT_IIN;200.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;5258.0;0.0;49592.89820497553;0.0;2.0164177456756753e-05;-0.0;49592.89820497553;0.0;49592.89820497553;0.0;0.0;0.0179716796875;8.98583984375;
1.612;1.0;0.0;50;500;TWO;FIRST_HARMONIC;VOUT_IIN;200.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;4062.0;0.0;64194.84459915345;0.0;1.5577574900978687e-05;-0.0;64194.84459915345;0.0;64194.844599153446;0.0;0.0;0.0138837890625;6.94189453125;
2.517;1.0;0.0;50;500;TWO;FIRST_HARMONIC;VOUT_IIN;200.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;3632.0;0.0;71795.0051656832;0.0;1.392854555400162e-05;-0.0;71795.0051656832;0.0;71795.0051656832;0.0;0.0;0.0124140625;6.20703125;
3.425;1.0;0.0;50;500;TWO;FIRST_HARMONIC;VOUT_IIN;200.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;3332.0;0.0;78259.14128504242;0.0;1.277805996308739e-05;-0.0;78259.14128504242;0.0;78259.14128504242;0.0;0.0;0.011388671875;5.6943359375;
4.319;1.0;0.0;50;500;TWO;FIRST_HARMONIC;VOUT_IIN;200.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;3128.0;0.0;83362.99832537127;0.0;1.1995729761265712e-05;-0.0;83362.99832537127;0.0;83362.99832537127;0.0;0.0;0.01069140625;5.345703125;
5.216;1.0;0.0;50;500;TWO;FIRST_HARMONIC;VOUT_IIN;200.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;2969.0;0.0;87827.36906761918;0.0;1.1385972398081173e-05;-0.0;87827.36906761918;0.0;87827.36906761918;0.0;0.0;0.01014794921875;5.073974609375;
6.1;1.0;0.0;50;500;TWO;FIRST_HARMONIC;VOUT_IIN;200.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;2851.0;0.0;91462.4548445322;0.0;1.0933448065654908e-05;-0.0;91462.4548445322;0.0;91462.4548445322;0.0;0.0;0.00974462890625;4.872314453125;
6.983;1.0;0.0;50;500;TWO;FIRST_HARMONIC;VOUT_IIN;200.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;2731.0;0.0;95481.31042173613;0.0;1.0473253829289216e-05;-0.0;95481.31042173613;0.0;95481.3104217361;0.0;0.0;0.00933447265625;4.667236328125;
7.887;1.0;0.0;50;500;TWO;FIRST_HARMONIC;VOUT_IIN;200.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;2625.0;0.0;99336.93667114718;0.0;1.006674892049952e-05;-0.0;99336.93667114718;0.0;99336.93667114718;0.0;0.0;0.00897216796875;4.486083984375;
8.799;1.0;0.0;50;500;TWO;FIRST_HARMONIC;VOUT_IIN;200.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;2537.0;0.0;102782.60100976008;0.0;9.72927314716468e-06;-0.0;102782.60100976008;0.0;102782.60100976008;0.0;0.0;0.00867138671875;4.335693359375;
