TimeStamp [Seconds];m;n;ingain;rsense;contacts;harmonic;modevi;frequency [Hertz];dcbiasP;dcbiasN;outgain;inport;outport;filter;phaseShift;VadcI [Integer];VadcQ [Integer];Re [Ohm];Im [Ohm];Conductance [Siemens];Susceptance [Siemens];Zmod [Ohm];ZPha [Radians];Rp [Ohm];Cp [Farad];Lp [Henry];Current [Ampere];Voltage [Volt];Unnamed: 29
0.574;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;200.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;26609.0;0.0;97996.7149317003;0.0;1.0204423696212256e-05;-0.0;97996.7149317003;0.0;97996.7149317003;0.0;0.0;0.009094873046875;45.474365234375;
1.53;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;200.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;23272.0;0.0;112048.5814548648;0.0;8.92470022391866e-06;-0.0;112048.5814548648;0.0;112048.5814548648;0.0;0.0;0.007954296875;39.771484375;
2.438;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;200.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;21496.0;0.0;121306.03775668092;0.0;8.243612754097436e-06;-0.0;121306.03775668092;0.0;121306.03775668092;0.0;0.0;0.007347265625;36.736328125;
3.347;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;200.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;19901.0;0.0;131028.3195627161;0.0;7.631937914928037e-06;-0.0;131028.3195627161;0.0;131028.31956271607;0.0;0.0;0.006802099609375;34.010498046875;
4.243;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;200.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;18763.0;0.0;138975.35509340794;0.0;7.195520380774572e-06;-0.0;138975.35509340794;0.0;138975.35509340794;0.0;0.0;0.006413134765625;32.065673828125;
5.139;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;200.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;17839.0;0.0;146173.80949703534;0.0;6.8411708187729875e-06;-0.0;146173.80949703534;0.0;146173.80949703534;0.0;0.0;0.006097314453125;30.486572265625;
6.021;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;200.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;17044.0;0.0;152991.93778559103;0.0;6.536292137180716e-06;-0.0;152991.93778559103;0.0;152991.93778559103;0.0;0.0;0.0058255859375;29.1279296875;
6.904;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;200.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;16342.0;0.0;159563.98161899482;0.0;6.267078508906787e-06;-0.0;159563.98161899482;0.0;159563.98161899482;0.0;0.0;0.00558564453125;27.92822265625;
7.812;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;200.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;15684.0;0.0;166258.2624086721;0.0;6.014738669299599e-06;-0.0;166258.2624086721;0.0;166258.2624086721;0.0;0.0;0.0053607421875;26.8037109375;
8.72;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;200.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;15121.0;0.0;172448.5541708626;0.0;5.798830873404695e-06;-0.0;172448.5541708626;0.0;172448.5541708626;0.0;0.0;0.005168310546875;25.841552734375;
