TimeStamp [Seconds];m;n;ingain;rsense;contacts;harmonic;modevi;frequency [Hertz];dcbiasP;dcbiasN;outgain;inport;outport;filter;phaseShift;VadcI [Integer];VadcQ [Integer];Re [Ohm];Im [Ohm];Conductance [Siemens];Susceptance [Siemens];Zmod [Ohm];ZPha [Radians];Rp [Ohm];Cp [Farad];Lp [Henry];Current [Ampere];Voltage [Volt];Unnamed: 29
0.868;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;16219.0;0.0;160774.06668830465;0.0;6.219908599679304e-06;-0.0;160774.06668830465;0.0;160774.06668830465;0.0;0.0;0.005543603515625;27.718017578125;
1.817;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;14045.0;0.0;185659.99199840607;0.0;5.3861900414634574e-06;-0.0;185659.99199840607;0.0;185659.99199840607;0.0;0.0;0.004800537109375;24.002685546875;
2.72;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;12976.0;0.0;200955.19325043255;0.0;4.9762336759010205e-06;-0.0;200955.19325043255;0.0;200955.19325043255;0.0;0.0;0.00443515625;22.17578125;
3.621;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;12021.0;0.0;216919.93907475364;0.0;4.609995762793323e-06;-0.0;216919.93907475364;0.0;216919.93907475364;0.0;0.0;0.004108740234375;20.543701171875;
4.527;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;10912.0;0.0;238965.77965703935;0.0;4.184699589352029e-06;-0.0;238965.77965703935;0.0;238965.77965703935;0.0;0.0;0.0037296875;18.6484375;
5.415;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;10730.0;0.0;243019.0668795539;0.0;4.114903463503232e-06;-0.0;243019.0668795539;0.0;243019.06687955392;0.0;0.0;0.00366748046875;18.33740234375;
6.3;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;9775.0;0.0;266761.59464118804;0.0;3.748665550395536e-06;-0.0;266761.59464118804;0.0;266761.59464118804;0.0;0.0;0.003341064453125;16.705322265625;
7.189;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;9543.0;0.0;273246.83931862237;0.0;3.6596946646981686e-06;-0.0;273246.83931862237;0.0;273246.83931862237;0.0;0.0;0.003261767578125;16.308837890625;
8.087;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;9003.0;0.0;289636.1865619919;0.0;3.452607258333607e-06;-0.0;289636.1865619919;0.0;289636.1865619919;0.0;0.0;0.003077197265625;15.385986328125;
9.007;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;8766.0;0.0;297466.8705929287;0.0;3.3617188966513826e-06;-0.0;297466.8705929287;0.0;297466.8705929287;0.0;0.0;0.00299619140625;14.98095703125;
