TimeStamp [Seconds];m;n;ingain;rsense;contacts;harmonic;modevi;frequency [Hertz];dcbiasP;dcbiasN;outgain;inport;outport;filter;phaseShift;VadcI [Integer];VadcQ [Integer];Re [Ohm];Im [Ohm];Conductance [Siemens];Susceptance [Siemens];Zmod [Ohm];ZPha [Radians];Rp [Ohm];Cp [Farad];Lp [Henry];Current [Ampere];Voltage [Volt];Unnamed: 29
0.902;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;28008.0;0.0;93101.77762130868;0.0;1.074093347677526e-05;-0.0;93101.77762130868;0.0;93101.77762130868;0.0;0.0;0.009573046875;47.865234375;
1.852;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;24208.0;0.0;107716.23379121006;0.0;9.2836517282839e-06;-0.0;107716.23379121006;0.0;107716.23379121008;0.0;0.0;0.00827421875;41.37109375;
2.755;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;22182.0;0.0;117554.53014235024;0.0;8.506690459219822e-06;-0.0;117554.53014235024;0.0;117554.53014235028;0.0;0.0;0.00758173828125;37.90869140625;
3.657;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;20509.0;0.0;127143.9167008442;0.0;7.865102994686654e-06;-0.0;127143.9167008442;0.0;127143.91670084416;0.0;0.0;0.007009912109375;35.049560546875;
4.562;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;18916.0;0.0;137851.26811258265;0.0;7.254195145911197e-06;-0.0;137851.26811258265;0.0;137851.26811258265;0.0;0.0;0.0064654296875;32.3271484375;
5.449;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;18365.0;0.0;141987.18146570178;0.0;7.04288929237995e-06;-0.0;141987.18146570178;0.0;141987.18146570178;0.0;0.0;0.006277099609375;31.385498046875;
6.331;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;17090.0;0.0;152580.13970846188;0.0;6.5539329162414014e-06;-0.0;152580.13970846188;0.0;152580.13970846188;0.0;0.0;0.00584130859375;29.20654296875;
7.226;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;16521.0;0.0;157835.15450745192;0.0;6.3357241491646696e-06;-0.0;157835.15450745192;0.0;157835.15450745192;0.0;0.0;0.005646826171875;28.234130859375;
8.118;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;15848.0;0.0;164537.7705462906;0.0;6.07763188160291e-06;-0.0;164537.7705462906;0.0;164537.7705462906;0.0;0.0;0.005416796875;27.083984375;
9.041;1.0;0.0;50;5000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;15310.0;0.0;170319.69873400478;0.0;5.871311465632292e-06;-0.0;170319.69873400478;0.0;170319.69873400478;0.0;0.0;0.00523291015625;26.16455078125;
