TimeStamp [Seconds];m;n;ingain;rsense;contacts;harmonic;modevi;frequency [Hertz];dcbiasP;dcbiasN;outgain;inport;outport;filter;phaseShift;VadcI [Integer];VadcQ [Integer];Re [Ohm];Im [Ohm];Conductance [Siemens];Susceptance [Siemens];Zmod [Ohm];ZPha [Radians];Rp [Ohm];Cp [Farad];Lp [Henry];Current [Ampere];Voltage [Volt];Unnamed: 29
1.085;1.0;0.0;50;50000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;4;PORT5;PORT5;1;Quadrants,IN_PHASE,0;-284.0;-174.0;-16689432.780518744;-10225215.85848684;-4.35650543759522e-08;2.669126570921016e-08;19572741.399408117;-2.591904623678015;-22954177.70790153;0.054375; - ;-1.1450830078125e-05;-0.57254150390625;
2.019;1.0;0.0;50;50000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;4;PORT5;PORT5;1;Quadrants,IN_PHASE,0;-279.0;-170.0;-17039349.686280675;-10382399.450421916;-4.279806398200938e-08;2.60776733940559e-08;19953286.849025015;-2.5943491122658147;-23365542.899799407;0.0531249999999999; - ;-1.124923095703125e-05;-0.5624615478515625;
2.919;1.0;0.0;50;50000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;4;PORT5;PORT5;1;Quadrants,IN_PHASE,0;-289.0;-161.0;-17214479.720342513;-9590073.477422643;-4.433204476989504e-08;2.4697090684958826e-08;19705527.685003743;-2.633319751616407;-22557046.605688695;0.0503125; - ;-1.165242919921875e-05;-0.5826214599609375;
3.821;1.0;0.0;50;50000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;4;PORT5;PORT5;1;Quadrants,IN_PHASE,0;-281.0;-167.0;-17143988.748726003;-10188776.23144926;-4.310486013958651e-08;2.56174791576902e-08;19943106.86204607;-2.6053704004449116;-23199240.10335955;0.0521874999999999; - ;-1.132987060546875e-05;-0.5664935302734375;
4.724;1.0;0.0;50;50000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;4;PORT5;PORT5;1;Quadrants,IN_PHASE,0;-294.0;-175.0;-16372506.828909254;-9745539.779112646;-4.509903516383785e-08;2.6844663787998713e-08;19053464.91977108;-2.604681910849748;-22173423.364095353;0.0546874999999999; - ;-1.18540283203125e-05;-0.592701416015625;
5.611;1.0;0.0;50;50000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;4;PORT5;PORT5;1;Quadrants,IN_PHASE,0;-281.0;-162.0;-17412054.53924598;-10038266.31799946;-4.3104860139586526e-08;2.485048876374738e-08;20098418.69274195;-2.6186224662056663;-23199240.103359547;0.0506249999999999; - ;-1.132987060546875e-05;-0.5664935302734375;
6.493;1.0;0.0;50;50000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;4;PORT5;PORT5;1;Quadrants,IN_PHASE,0;-281.0;-164.0;-17304809.29746142;-10099604.00278887;-4.3104860139586526e-08;2.5157284921324512e-08;20036427.47184877;-2.61329696622899;-23199240.103359547;0.05125; - ;-1.132987060546875e-05;-0.5664935302734375;
7.396;1.0;0.0;50;50000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;4;PORT5;PORT5;1;Quadrants,IN_PHASE,0;-272.0;-156.0;-18034624.8940193;-10343387.806864005;-4.172427743048944e-08;2.3930100291015992e-08;20790222.8557359;-2.6208642621827227;-23966862.01854424;0.0487499999999999; - ;-1.09669921875e-05;-0.548349609375;
8.295;1.0;0.0;50;50000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;4;PORT5;PORT5;1;Quadrants,IN_PHASE,0;-289.0;-162.0;-17163823.52802556;-9621243.638547195;-4.4332044769895043e-08;2.485048876374738e-08;19676513.0867613;-2.630682968588295;-22557046.60568869;0.0506249999999999; - ;-1.165242919921875e-05;-0.5826214599609375;
9.204;1.0;0.0;50;50000;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;4;PORT5;PORT5;1;Quadrants,IN_PHASE,0;-281.0;-167.0;-17143988.748726003;-10188776.23144926;-4.310486013958651e-08;2.56174791576902e-08;19943106.86204607;-2.6053704004449116;-23199240.10335955;0.0521874999999999; - ;-1.132987060546875e-05;-0.5664935302734375;
