TimeStamp [Seconds];m;n;ingain;rsense;contacts;harmonic;modevi;frequency [Hertz];dcbiasP;dcbiasN;outgain;inport;outport;filter;phaseShift;VadcI [Integer];VadcQ [Integer];Re [Ohm];Im [Ohm];Conductance [Siemens];Susceptance [Siemens];Zmod [Ohm];ZPha [Radians];Rp [Ohm];Cp [Farad];Lp [Henry];Current [Ampere];Voltage [Volt];Unnamed: 29
0.946;1.0;0.0;50;500;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;4503.0;0.0;57907.94109743757;0.0;1.7268788719622604e-05;-0.0;57907.94109743757;0.0;57907.94109743757;0.0;0.0;0.01539111328125;7.695556640625;
1.893;1.0;0.0;50;500;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;3875.0;0.0;67292.76355142228;0.0;1.486043888264215e-05;-0.0;67292.76355142228;0.0;67292.76355142228;0.0;0.0;0.01324462890625;6.622314453125;
2.795;1.0;0.0;50;500;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;3517.0;0.0;74142.58139373368;0.0;1.34875260774845e-05;-0.0;74142.58139373368;0.0;74142.58139373368;0.0;0.0;0.01202099609375;6.010498046875;
3.697;1.0;0.0;50;500;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;3282.0;0.0;79451.38901942759;0.0;1.2586312364601684e-05;-0.0;79451.38901942759;0.0;79451.38901942759;0.0;0.0;0.0112177734375;5.60888671875;
4.6;1.0;0.0;50;500;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;3077.0;0.0;84744.70547993544;0.0;1.1800147210810294e-05;-0.0;84744.70547993544;0.0;84744.70547993544;0.0;0.0;0.01051708984375;5.258544921875;
5.487;1.0;0.0;50;500;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;2956.0;0.0;88213.61933753766;0.0;1.1336118022474888e-05;-0.0;88213.61933753766;0.0;88213.61933753766;0.0;0.0;0.010103515625;5.0517578125;
6.373;1.0;0.0;50;500;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;2803.0;0.0;93028.70451721776;0.0;1.074937037110863e-05;-0.0;93028.70451721776;0.0;93028.70451721776;0.0;0.0;0.00958056640625;4.790283203125;
7.263;1.0;0.0;50;500;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;2700.0;0.0;96577.57731917089;0.0;1.0354370318228078e-05;-0.0;96577.57731917089;0.0;96577.57731917086;0.0;0.0;0.009228515625;4.6142578125;
8.159;1.0;0.0;50;500;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;2599.0;0.0;100330.68825000436;0.0;9.967040169286954e-06;-0.0;100330.68825000436;0.0;100330.68825000436;0.0;0.0;0.00888330078125;4.441650390625;
9.082;1.0;0.0;50;500;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;2512.0;0.0;103805.51702299416;0.0;9.633399347921826e-06;-0.0;103805.51702299416;0.0;103805.51702299416;0.0;0.0;0.0085859375;4.29296875;
9.974;1.0;0.0;50;500;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;2432.0;0.0;107220.17218822424;0.0;9.326603190344698e-06;-0.0;107220.17218822424;0.0;107220.17218822424;0.0;0.0;0.0083125;4.15625;
10.873;1.0;0.0;50;500;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;2353.0;0.0;110819.99947376172;0.0;9.023641984737284e-06;-0.0;110819.99947376172;0.0;110819.99947376172;0.0;0.0;0.00804248046875;4.021240234375;
11.773;1.0;0.0;50;500;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;2308.0;0.0;112980.70136991392;0.0;8.85106914610015e-06;-0.0;112980.70136991392;0.0;112980.7013699139;0.0;0.0;0.007888671875;3.9443359375;
12.653;1.0;0.0;50;500;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;2232.0;0.0;116827.714498997;0.0;8.559612796401878e-06;-0.0;116827.714498997;0.0;116827.714498997;0.0;0.0;0.00762890625;3.814453125;
13.541;1.0;0.0;50;500;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;2190.0;0.0;119068.24600993669;0.0;8.398544813673884e-06;-0.0;119068.24600993669;0.0;119068.2460099367;0.0;0.0;0.0074853515625;3.74267578125;
14.427;1.0;0.0;50;500;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;2134.0;0.0;122192.81104112529;0.0;8.183787503369895e-06;-0.0;122192.81104112529;0.0;122192.81104112529;0.0;0.0;0.0072939453125;3.64697265625;
15.318;1.0;0.0;50;500;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;2099.0;0.0;124230.32813804732;0.0;8.049564184429903e-06;-0.0;124230.32813804732;0.0;124230.3281380473;0.0;0.0;0.00717431640625;3.587158203125;
16.207;1.0;0.0;50;500;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;2062.0;0.0;126459.48533548076;0.0;7.907670961550479e-06;-0.0;126459.48533548076;0.0;126459.4853354808;0.0;0.0;0.0070478515625;3.52392578125;
17.1;1.0;0.0;50;500;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;2016.0;0.0;129344.96962388956;0.0;7.731263170943631e-06;-0.0;129344.96962388956;0.0;129344.96962388956;0.0;0.0;0.006890625;3.4453125;
17.981;1.0;0.0;50;500;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;1969.0;0.0;132432.43207809108;0.0;7.551020428367069e-06;-0.0;132432.43207809108;0.0;132432.43207809108;0.0;0.0;0.00672998046875;3.364990234375;
18.89;1.0;0.0;50;500;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;1931.0;0.0;135038.5596901923;0.0;7.405292253517932e-06;-0.0;135038.5596901923;0.0;135038.5596901923;0.0;0.0;0.00660009765625;3.300048828125;
19.784;1.0;0.0;50;500;TWO;FIRST_HARMONIC;VOUT_IIN;78125.0;0;0;7;PORT_EXT1_SP2;PORT_EXT1_SP2;1;Fine,IN_PHASE,0;1907.0;0.0;136738.04864276946;0.0;7.313253406244794e-06;-0.0;136738.04864276946;0.0;136738.04864276946;0.0;0.0;0.00651806640625;3.259033203125;
